Date,Total Trades,Total P/L,Win Rate (%),Daily High Equity,Daily End Equity
2025-12-12,0,0.00,0.00,1001619.17,1001619.17
2025-12-12,0,0.00,0.00,997453.72,997453.72
2025-12-19,0,0.00,0.00,988312.36,988312.36
2025-12-19,0,0.00,0.00,988312.36,988312.36
2025-12-19,0,0.00,0.00,988312.36,988312.36
2025-12-19,0,0.00,0.00,988312.36,988312.36
2025-12-19,0,0.00,0.00,988312.36,988312.36
2025-12-19,0,0.00,0.00,988312.36,988312.36
2025-12-19,0,0.00,0.00,988312.36,988312.36
2025-12-19,0,0.00,0.00,988312.36,988312.36
2025-12-19,0,0.00,0.00,988312.36,988312.36
2025-12-19,0,0.00,0.00,988369.91,988366.37
2025-12-19,0,0.00,0.00,988244.01,988246.08
2025-12-19,0,0.00,0.00,988128.24,988128.24
2025-12-19,0,0.00,0.00,988192.07,988192.11
2025-12-19,0,0.00,0.00,988057.04,988057.04
2025-12-19,0,0.00,0.00,988057.04,988057.04
2025-12-19,0,0.00,0.00,988057.04,988057.04
2025-12-19,0,0.00,0.00,989730.94,989762.22
2025-12-19,0,0.00,0.00,990061.32,990039.29
2025-12-19,0,0.00,0.00,990256.33,990248.25
2025-12-19,0,0.00,0.00,990300.77,990285.74
2025-12-19,0,0.00,0.00,988361.05,988361.05
2025-12-19,0,0.00,0.00,990544.47,990544.47
2025-12-19,0,0.00,0.00,991366.63,991410.09
2025-12-19,0,0.00,0.00,990269.13,990284.06
2025-12-19,0,0.00,0.00,992226.14,992226.14
2025-12-19,0,0.00,0.00,992226.14,992226.14
2025-12-19,0,0.00,0.00,992226.14,992226.14
2025-12-19,0,0.00,0.00,994302.19,994295.57
2025-12-19,0,0.00,0.00,997008.29,997008.29
2025-12-19,0,0.00,0.00,996258.25,996258.25
2025-12-19,0,0.00,0.00,994980.51,994980.51
2025-12-19,0,0.00,0.00,994980.51,994980.51
2025-12-19,0,0.00,0.00,994980.51,994980.51
2025-12-22,0,0.00,0.00,994971.54,994971.54
2025-12-22,0,0.00,0.00,994971.54,994971.54
2025-12-22,0,0.00,0.00,994971.54,994971.54
2025-12-22,0,0.00,0.00,994971.54,994971.54
2025-12-22,1,2223.34,100.00,998056.49,996995.00
2025-12-22,0,0.00,0.00,996995.00,996995.00
2025-12-22,0,0.00,0.00,996995.00,996995.00
2025-12-22,0,0.00,0.00,996426.08,996426.08
2025-12-22,0,0.00,0.00,994037.98,994037.98
2025-12-22,0,0.00,0.00,994037.98,994037.98
2025-12-22,3,-33.36,33.33,996719.38,993859.85
2025-12-22,0,0.00,0.00,993859.85,993859.85
2025-12-22,0,0.00,0.00,992864.18,992864.18
2025-12-22,0,0.00,0.00,992907.52,992907.52
2025-12-22,0,0.00,0.00,992694.70,992694.70
2025-12-22,0,0.00,0.00,992006.77,992006.77
2025-12-22,0,0.00,0.00,992006.77,992006.77
2025-12-22,0,0.00,0.00,992006.77,992006.77
2025-12-22,0,0.00,0.00,992006.77,992006.77
2025-12-22,0,0.00,0.00,992006.77,992006.77
2025-12-22,0,0.00,0.00,992006.77,992006.77
2025-12-22,0,0.00,0.00,992006.77,992006.77
2025-12-22,0,0.00,0.00,992006.77,992006.77
2025-12-22,0,0.00,0.00,992006.77,992006.77
2025-12-22,0,0.00,0.00,993047.16,993047.16
2025-12-22,0,0.00,0.00,992330.78,992330.78
2025-12-22,0,0.00,0.00,992330.78,992330.78
2025-12-22,0,0.00,0.00,992330.78,992330.78
2025-12-22,0,0.00,0.00,992557.50,992557.50
2025-12-22,0,0.00,0.00,992557.50,992557.50
